DateTime,Comment
2017-01-14T00:32:18Z,"I&#39;ve just driven this 5.0 litre V8 convertible in Florida for a week. It is sensational, but being typical American car, it is not as refined as our German cousins &amp; clearly the build quality is not the same. However the engine roar is sweet and performance is incredible. It really does give you a grin then you plant your foot down. It&#39;s all about emotion! For the price it is incredible value. Go for the automatic. Don&#39;t bother with the smaller engine, go for the 5.0!"
2017-01-06T16:53:45Z,Why do the British models not have Sync 3 yet?
2017-01-02T13:35:28Z,well he said that the rear seats will be fine for me cause m a kid butt wait i 5ft 8inn no way
2016-12-21T17:02:12Z,embarrassing.  Alan partridge drives this ford.
2016-12-15T17:19:37Z,"I don&#39;t understand why Ford doen&#39;t give the customer the opportunity to choose higher quality if he doesn&#39;t has a problem with spending more money. The GT costs in germany around 50k they just could give things like leather packages etc. for 10k extra. I&#39;d say a lot of ppl would compare this to a 440i, S4 or CLA."
2016-12-09T06:25:27Z,"I&#39;m disappointed with Ford and this, in the US you can get this with the 5.0 V8... a bit softer than the fastback, but it&#39;s a proper V8. <br>PD: If this is a 2016 model why doesn&#39;t carry a sync 3 system on it? 🤔"
2016-12-05T18:03:37Z,Where could I save money on a new car ?
2016-12-03T13:47:14Z,2 bars of boost
2016-11-20T12:08:42Z,Ecoboost.. zzzz
2016-11-05T14:54:57Z,"+Carwow Something I&#39;ve noticed is that most American cars don&#39;t pass the big bottle door test. I think it&#39;s because in America, we don&#39;t sell many beverages in 1 liter bottles the way they are...... well anywhere else in the world. I think American car designers don&#39;t have the liter bottle in mind when they make the door bin. Just something I&#39;ve noticed and something you might mention next time you review an American car. <br>I love your videos! Keep it up!"
2016-11-02T18:21:13Z,"LOL!! when you get into the rear of the car Mat, it&#39;s like you held your breath for quite long..."
2016-11-02T01:40:25Z,looks absolutely ridiculous car
2016-11-01T01:28:25Z,"Toyota Corolla has been in production since 1966 but you don&#39;t see them bragging about it. In the real world, a new Corolla will probably outlast a Mustang."
2016-10-31T21:52:20Z,"Great job carwow. I was watching Matts reviews since his previous channel and joined carwow from the beginning. Guys you really get what it takes to make the show. Keep it up. Also you should do hot hatchbacks review and head to head. Golf R, Audi R3, Mercedes A45 AMG and BMW 1M"
2016-10-30T22:34:43Z,I always knew mustang was a piece of shit
2016-10-30T16:14:30Z,"That&#39;s not a 2017 model, it&#39;s SYNC 3 on 2017 cars not the SYNC 2 system fitted here."
2016-10-30T12:30:25Z,another entertaining car review by Matt!
2016-10-30T11:16:09Z,Matt you love the focus but the mustang is rubbish ??! also the 2.3 engine is great in the focus but rubbish in the mustang ??!! dude Wtf ? if it&#39;s not british it&#39;s rubbish or what ?
2016-10-30T09:28:25Z,I liked the little Boost joke :P
2016-10-29T11:44:18Z,"<a href=""http://www.youtube.com/watch?v=y1_6s-8Pagc&amp;t=5m46s"">5:46</a> 😂😂😂"
2016-10-29T10:57:59Z,bottom line is rubbish car haha! gud review Matt
2016-10-28T23:45:14Z,THE AMERICANS STILL CAN&#39;T MAKE A GOOD CAR
2016-10-28T18:32:07Z,Our Matt loves a Boost!!!
2016-10-28T16:55:24Z,I hope matt didn&#39;t hit a crowd
2016-10-28T11:08:03Z,What an incredibly distorted review.
2016-10-28T09:27:08Z,I only come here to find out more about the roof of the porsche!!! come on Mat! spill the beans.
2016-10-28T07:59:13Z,I still love the car.
2016-10-28T07:58:26Z,Interiour looks as cheap as  japanese cars in the 90s <b>lol</b>
